iteration	candidate_commit	dev_rmse	val_rmse	runtime_s	memory_mb	status	failure_stage	failure_message	complexity	description	rationale	source
10	57d87da2a580485c88f9dc94ced462aa9c5bc382	18.672701	15.375965	0.682	78.4	keep			low	One-step Cauchy residual reweighting of the retained 112-neighbor Gaussian PCA	The fixed-scale probes show that enlarging support improves medium and high noise but loses too much accuracy to neighborhood bias, so support size alone does not resolve the trade-off. Starting from the retained Gaussian-weighted PCA plane, this change estimates residual scale with the median absolute deviation and multiplies each distance weight by 1 / (1 + (e / (2.5 sigma))^2), then recomputes the weighted covariance once. Points with unusually large normal-direction residuals therefore have bounded leverage without broadening the patch. Medium/high-noise cases and patches containing geometric outliers should improve; clean, low-noise, stripe, and gradient cases should remain close to the frontier, while genuinely curved patches may regress if valid curvature is treated as residual contamination. The cost is residual statistics plus one additional 3-by-3 eigendecomposition per query. Ablate by omitting the Cauchy factors and final refit, which returns the initial retained Gaussian-PCA normal.	original
11	0f313fe210048604c9d823c0d77d39a4b659ba45	18.638573		0.658	70.2	discard			baseline	Reduce the one-step Cauchy residual cutoff from 2.5 to 2.0 sigma	The retained robust fit improved clean, low-noise, stripe, and gradient patches, suggesting that points far from the provisional tangent still carry enough leverage to bias the local plane through curvature, asymmetric sampling, or sparse outliers. Reducing the Cauchy cutoff from 2.5 to 2.0 sigma gives a 2-sigma residual weight of 0.5 instead of about 0.61, strengthening only the existing residual rejection without changing neighborhood support or adding a mechanism. Clean, low-noise, stripe, and gradient conditions should improve; medium and high noise may regress because widespread positional noise is valid signal rather than sparse contamination. Runtime and asymptotic cost are unchanged. Ablate this parameter by restoring the cutoff to 2.5 with every other computation fixed.	original
12	bef55454a2d0653b66acddca9de3c3eeba77f179	18.702036		0.664	77.2	discard			baseline	Increase the one-step Cauchy residual cutoff from 2.5 to 3.0 sigma	The retained robust fit improves query-local geometry but still regresses on medium and high noise, where widespread normal-direction displacement is not sparse contamination. The rejected 2.0-sigma probe strengthened rejection and measurably worsened both noisy conditions, motivating the untested opposite parameter direction. Raising the Cauchy cutoff from 2.5 to 3.0 sigma increases a 2.5-sigma residual's weight from 0.5 to about 0.59, preserving more valid noisy samples in the covariance while retaining bounded leverage for extreme residuals. Medium and high noise should improve; clean, low-noise, stripe, and gradient conditions may regress through increased curvature or outlier leverage. Runtime and asymptotic cost are unchanged. Ablate by restoring the cutoff to 2.5 with every other computation fixed.	original
13	20c760f98e606f35da4c1316997c9607aae10b2d	18.37989	15.914907	0.768	78.0	discard			baseline	Increase the retained robust Gaussian-PCA neighborhood from 112 to 160 neighbors	The retained one-step Cauchy fit improves query-local geometry but still loses accuracy at medium and high noise, where 112 samples provide limited covariance averaging. The earlier non-robust k=160 anchor substantially improved both noisy conditions but regressed clean, low-noise, stripe, and gradient patches through broader-neighborhood bias; applying that measured scale to the retained robust estimator tests whether residual reweighting can bound the leverage of curvature-biased or outlying boundary samples while the additional samples stabilize noisy covariance estimates. Medium and high noise should improve, while clean, low-noise, stripe, and gradient conditions may still regress if coherent curvature is not rejected as an outlier. The cost is 43% more neighborhood storage and weighted-covariance work in each of the existing two fits, with no new algorithmic mechanism. Ablate by restoring k=112 while leaving Gaussian decay, Cauchy cutoff, and both PCA passes unchanged.	original
14	46459d1592630fd61c8880c73eb19979cf56eb5d	18.69935		0.726	70.2	discard			low	Center Cauchy reweighting on the median signed plane residual	The retained fit estimates residual scale around the median but currently applies its Cauchy penalty around zero, an inconsistency that can give low weight to the coherent surface sheet when curvature or asymmetric density shifts the residual distribution away from the provisional PCA plane. This change uses u = (e - median(e)) / (2.5 sigma) in the existing Cauchy factor 1 / (1 + u^2), so rejection targets deviations from the robust residual center rather than the center's offset. Clean, low-noise, stripe, and gradient patches should improve through less curvature and neighborhood-bias misclassification; medium and high noise may regress slightly if median centering preserves more displaced samples. The cost is one subtraction with unchanged memory and asymptotic work. Ablate by removing the median subtraction, exactly recovering the retained estimator.	original
15	73c45e9db36f2892f6abf05b9932d2df7f830ce7	18.609693	15.275942	0.826	72.8	keep			medium	Add a second Cauchy residual-reweighting step to the retained robust Gaussian PCA	A single robust refit still computes its Cauchy weights from the Gaussian-PCA plane, which can itself be tilted by curvature, asymmetric sampling, or outliers; those provisional residuals may therefore under-identify the points biasing the tangent. Recomputing residuals and Cauchy weights once from the first robust plane is a second IRLS step toward the same bounded-influence fit, without changing the neighborhood, kernel, cutoff, or objective. Clean, low-noise, stripe, and gradient patches should improve if the refined plane separates coherent tangent samples from biased points more accurately; medium and high noise may regress because repeated rejection reduces effective noise-averaging support. The cost is one additional weighted covariance and 3-by-3 eigendecomposition per query. Ablate by setting the number of robust reweighting steps back to one, exactly recovering the retained estimator.	original
16	44e123ca699a69bd755bc0acd0b8545c0accf975	18.589854		1.021	72.9	discard			baseline	Increase Cauchy residual reweighting from two to three IRLS steps	The retained second IRLS step improved clean, low-noise, stripe, and gradient conditions, indicating that recomputing residuals from a less biased robust plane better isolates curvature-, density-, or outlier-induced leverage than stopping after one refinement. A third step continues the same bounded-influence objective: compute Cauchy factors from the second robust plane and refit the weighted covariance once more. Those four query-local conditions should improve if the fit has not converged, while medium and high noise may regress because repeated downweighting reduces effective averaging support. The cost is one additional weighted centroid, covariance, and 3-by-3 eigendecomposition per query, with no new mechanism or hyperparameter. Ablate by restoring two reweighting steps, exactly recovering the validated frontier.	original
17						crash	agent.edit-scope	expected only estimator.py to change; changed paths: ['README.md', 'experiments/normal-estimation/estimator.py']	medium	Freeze the Cauchy residual scale from the initial Gaussian-PCA fit across both IRLS steps	The retained second IRLS step improves clean, low-noise, stripe, and gradient patches but regresses medium and high noise, and a third step amplifies the same trade-off. Re-estimating MAD after each robust refit can shrink the scale as the plane follows its inliers, so ordinary positional-noise residuals receive progressively smaller Cauchy weights. This change estimates sigma = 1.4826 median(|e - median(e)|) once from the initial Gaussian-PCA residuals and holds it fixed during both plane refinements, isolating plane convergence from scale contraction. Medium and high noise should improve through greater effective sample support; clean, low-noise, stripe, and gradient conditions may regress because curvature-biased points retain more leverage. The cost is unchanged asymptotically and slightly lower in practice because the second MAD calculation is removed. Ablate by recomputing MAD inside each IRLS step, exactly recovering the current frontier estimator.	original
18	85e3a72d8108acce3fb8f3d852732529fc1dff9a	18.631545		0.756	83.2	discard			medium	Hold the initial MAD residual scale fixed during both Cauchy plane refinements	In two-step robust PCA, recomputing MAD after the first refit can contract the estimated noise scale as the plane follows its inliers, causing ordinary positional-noise residuals to be increasingly rejected in the second step. Estimate sigma = 1.4826 median(|e - median(e)|) once from the initial Gaussian-PCA plane and reuse it while updating only the plane and Cauchy residual weights. This should preserve effective support and improve medium- and high-noise conditions; clean, low-noise, stripe, and gradient conditions may regress because curvature-biased samples retain more leverage. It removes one median-scale calculation without changing asymptotic cost. Ablate by recomputing MAD from the current plane inside each reweighting step, which exactly recovers the retained frontier.	original
19						crash	quality.ruff-fix	Ruff exited with status 1	medium	Gate the second Cauchy refinement by initial PCA surface variation	The retained second IRLS step improves clean, low-noise, stripe, and gradient patches but reduces effective support and regresses medium and high noise. This change always performs the retained first robust refit, then applies the second refit only when the initial Gaussian covariance confidently describes a plane, using the dimensionless criterion lambda_min / (lambda_0 + lambda_1 + lambda_2) <= 0.01. On high-variation, noise-dominated patches it preserves the one-step fit and its greater effective support; on confident planar patches it retains the second step's removal of curvature-, density-, or outlier-induced leverage. Medium and high noise should improve, while clean, low, stripe, and gradient should remain near the frontier; genuinely curved patches with high surface variation may regress by stopping after one step. The cost is one scalar confidence per patch, with the current batched second eigendecomposition retained for readable vectorization. Ablate by forcing the gate true for every patch, exactly recovering the current two-step frontier.	original
20	464554cd961fda2d712ce71b3bef97204f2fd81c	18.667599		0.831	81.6	discard			medium	Use initial surface variation to conditionally accept the second Cauchy IRLS refinement	Two Cauchy refinements reduce curvature-, density-, and outlier-induced tangent bias on clean, low-noise, stripe, and gradient patches, but measured results show a small medium/high-noise regression because repeated residual rejection reduces effective support. This change computes the initial PCA surface variation lambda_min / sum(lambda) and accepts the second-step normal only when that dimensionless value is at most 0.01; noisier, weakly planar patches retain the always-computed one-step normal. Medium and high noise should improve while the four query-local conditions remain close to the frontier, though genuinely curved high-variation patches may regress by stopping early. The added mechanism is one scalar confidence and a selection per patch; the second fit remains batched, so runtime is not reduced. Ablate by accepting the second-step normal for every patch, exactly recovering the retained estimator.	original
21	2ca4859c9f3e6e2dd66e5a6962504f931713dc5f	18.642562		0.828	78.3	discard			baseline	Relax the Cauchy cutoff from 2.5 to 3.0 sigma only during the second IRLS refinement	The retained second Cauchy refinement improves clean, low-noise, stripe, and gradient patches, but its repeated rejection reduces effective covariance support and measurably regresses medium and high noise. Keep the first pass at 2.5 sigma to suppress gross curvature-, density-, and outlier-induced residuals, then use a more conservative 3.0-sigma cutoff after the plane has already been robustly corrected. This should retain more ordinary positional-noise samples in the final covariance and improve medium/high noise; clean, low, stripe, and gradient may regress slightly because moderate geometric residuals regain leverage. The change adds one global scalar and no eigendecompositions or asymptotic cost. Ablate by setting the refined cutoff back to 2.5, exactly recovering the retained two-step estimator.	original
22	165687a2bf0bc1ee04db047f9aa0ea2eb4ee010f	18.573155		0.848	73.0	discard			baseline	Tighten the Cauchy cutoff from 2.5 to 2.0 sigma only during the second IRLS refinement	The retained second refinement improves clean, low-noise, stripe, and gradient patches by recomputing residual leverage from a less biased plane, but its cutoff has not been tested in the stricter direction independently of the first pass. Keep the initial fit at 2.5 sigma for stable rejection from the provisional PCA plane, then use 2.0 sigma after that plane has been robustly corrected; a residual of two refined-scale sigmas then receives weight 0.5 rather than about 0.61. This should further suppress coherent curvature-, asymmetric-density-, and outlier-induced leverage and improve clean, low, stripe, and gradient conditions, while medium and high noise may regress because valid noisy samples lose effective support. The change adds one global scalar and no eigendecompositions or asymptotic cost. Ablate by setting the refined cutoff back to 2.5, exactly recovering the retained two-step estimator.	original
23	b68d54e30c9d84182b75d017835955fc98734eac	18.790807		0.894	80.1	discard			low	Replace Cauchy residual weights with Huber weights in both robust PCA refinements	The retained Cauchy fit improves clean, low-noise, stripe, and gradient patches, but it also downweights every nonzero residual and measurably reduces effective covariance support at medium and high noise. At the same 2.5-sigma cutoff, Huber weights keep ordinary residuals at full weight and use min(1, 2.5 sigma / |e|) only for larger point-to-plane deviations, preserving Gaussian-noise averaging while still limiting the influence of geometric outliers and severe neighborhood bias. Medium and high noise should improve; clean, low, stripe, and gradient conditions may regress because moderate curvature- or density-induced residuals retain more leverage. The eigendecomposition count and asymptotic cost are unchanged. Ablate by restoring 1 / (1 + (e / (2.5 sigma))^2) in both refinements, exactly recovering the retained estimator.	https://doi.org/10.1214/aoms/1177703732
24	bfa0ed5904013c20c3981345831abb5df403285f	21.199881		0.909	78.0	discard			low	Use provisional tangent-plane distance in the Gaussian kernel for both robust PCA refinements	Euclidean neighbor distance mixes lateral surface separation with normal-direction displacement, so positional noise can unnecessarily suppress precisely the samples needed for covariance averaging. After the retained initial Gaussian PCA, project each query-to-neighbor offset onto its provisional tangent plane and use exp(-2 ||P_T(p-q)||^2 / r^2) as the fixed spatial kernel for both Cauchy refinements; residual reweighting still limits points far from the fitted surface. Medium and high noise should improve through greater effective support, while clean, low, stripe, and gradient patches may regress if curvature or an inaccurate provisional normal makes distant surface points appear laterally close. The cost is one projection per neighbor with no extra eigendecomposition. Ablate by computing the refinement kernel from the original Euclidean neighbor distances, exactly recovering the retained estimator.	original
25	002c29d21b1b4afc760b2d8d49382ca536a05029	17.869984	15.711446	1.227	101.1	discard			low	Extend robust Gaussian-PCA support to 224 neighbors while retaining the 112th-neighbor kernel bandwidth	The retained 112-neighbor fit hard-truncates its Gaussian kernel where boundary samples still have weight exp(-2), limiting covariance averaging at medium and high positional noise. Use 224 neighbors but continue normalizing distances by the 112th-neighbor radius, so the added samples form a rapidly decaying tail (approximately exp(-4) at the 224th neighbor under uniform surface density) rather than broadening the kernel as in the rejected fixed-k=224 probe. Medium and high noise should improve through additional low-leverage samples; clean, low, stripe, and gradient conditions may regress slightly from residual curvature or neighborhood bias. The cost is roughly twice the neighborhood storage and weighted-covariance work in the same initial fit and two Cauchy refinements, with no extra eigendecompositions. Ablate by truncating support at 112 while retaining that same bandwidth and all robust-fit settings, exactly recovering the frontier estimator.	original
26	caee1b24fc54caf6e440525deb95f94b5949226b	18.157194	15.468579	1.018	78.3	discard			baseline	Use a 160-neighbor Gaussian tail while retaining the 112th-neighbor kernel bandwidth	The retained 112-neighbor estimator truncates its Gaussian kernel where samples still have weight exp(-2), but extending the same kernel to 224 neighbors improved medium and high noise at excessive clean-geometry and validation cost. Extending support only to 160 neighbors is the intermediate parameter probe: the 112th-neighbor radius still fixes locality, while neighbors 113 through 160 contribute a rapidly decaying tail for covariance averaging rather than broadening the kernel. Medium and high noise should improve; clean, low-noise, stripe, and gradient conditions may regress from residual curvature leverage, but less than with the measured 224-neighbor tail. The cost is 43% more neighborhood storage and weighted-covariance work in the existing three fits, with no new eigendecompositions or mechanism. Ablate by setting support back to 112 while keeping the bandwidth, decay, and robust refinements unchanged.	original
27	2832aeb2e224283343a247ca6aedbbc1dfffbfea	23.827748		0.811	74.0	discard			low	Anchor each robust Gaussian-PCA plane at the query instead of the weighted neighborhood centroid	A centroid-fitted plane estimates the tangent near the patch's weighted center, which can differ from the query under curvature or asymmetric density and thereby introduce neighborhood bias. This change forms query-relative offsets and minimizes sum_i w_i (n dot (p_i - q))^2 in the initial fit and both retained Cauchy refinements, explicitly estimating the plane through q. Clean, low-noise, stripe, and gradient conditions should improve when curvature or nonuniform sampling displaces the centroid; medium and high noise may regress because a noisy query cannot be averaged into a more stable plane offset. The change removes centroid calculations without adding eigendecompositions or asymptotic cost. Ablate by subtracting each pass's weighted centroid before covariance formation, exactly restoring the retained centroid-fitted estimator.	original
28	266933d38f37d2a59cc62b8110ba3d98a36fc30b	18.584173		0.877	73.1	discard			medium	Gate the second Cauchy refinement by the initial normal eigengap	The retained second IRLS step reduces curvature, density, and outlier leverage on clean local geometry, but repeated rejection reduces effective support and regresses medium and high noise. The earlier surface-variation gate used lambda_0 / sum(lambda), which conflates curved but identifiable tangents with noise. This change instead accepts the second-step normal only when lambda_0 / lambda_1 <= 0.5: the smallest eigenvalue is then separated from the weakest tangent eigenvalue, so the normal direction is identifiable. Low-eigengap, noise-dominated patches retain the one-step estimate and its greater effective support. Medium and high noise should improve; clean, low, stripe, and gradient should remain near the frontier, while locally isotropic curved patches may regress by stopping early. Both fits remain batched, so the cost is one dimensionless ratio and selection with no additional eigendecomposition. Ablate by always accepting the second-step normal, exactly recovering the retained frontier.	original
29	179ca55456801eca29d52deb403d870291edde45	18.423357	15.273004	0.959	78.5	discard			medium	Initialize local robust PCA from a 160-neighbor Gaussian tail, then retain 112-neighbor IRLS refinements	At medium and high positional noise, the provisional 112-neighbor PCA normal is variance-limited, so its residuals can misidentify which samples should be downweighted in both subsequent robust fits. The measured 160-neighbor Gaussian tail improved those noisy conditions but harmed clean local geometry when it remained active in every fit. This staged-support change uses neighbors 113 through 160 only to stabilize the provisional plane, with the Gaussian bandwidth still fixed by the 112th neighbor; both Cauchy refinements then return to the retained 112-neighbor patch so distant curvature cannot directly influence the final covariance. Medium and high noise should improve, while clean, low-noise, stripe, and gradient cases may regress slightly if the broader initialization biases the first residual classification. The cost is 48 extra points only in the initial covariance, with no extra eigendecomposition. Ablate by setting the initial support to 112, which exactly recovers the retained estimator.	original
30	95b0568f86f6c7c267def0ac3dedd7c46ba086bf	18.584703		0.837	73.0	discard			baseline	Use a decreasing 3.0-to-2.0 sigma Cauchy cutoff schedule across the two robust PCA refinements	Residuals from the provisional Gaussian-PCA plane are less reliable because noise, curvature, or asymmetric density can tilt that plane, while residuals from the first robust plane identify geometric leverage more accurately. A permissive 3.0-sigma first cutoff preserves covariance support under medium and high positional noise; tightening to 2.0 sigma only after correction more strongly suppresses curvature-, density-, and outlier-induced bias. Prior isolated cutoff probes predict medium/high gains from the relaxed first stage and clean, low, stripe, and gradient gains from the strict refined stage, though either side may dominate. This changes only two global scalars and adds no computation. Ablate by setting both cutoffs to 2.5, exactly recovering the retained estimator.	original
31	9523ff9402dc9e7f59b39a4b71c9e5e36343e374	18.534534		0.846	81.9	provisional			baseline	Tighten only the second Cauchy refinement cutoff from 2.5 to 1.5 sigma	The retained first robust fit supplies a less biased tangent, so its residuals should distinguish curvature-, asymmetric-density-, and outlier-induced leverage more reliably than residuals from the initial PCA plane. The measured 2.0-sigma second-pass probe improved clean, low-noise, stripe, and gradient conditions, and the rejected 3.0-to-2.0 schedule showed that relaxing the first pass offsets those gains; this next stricter parameter anchor keeps the stable first cutoff at 2.5 sigma and lowers only the refined cutoff to 1.5 sigma. It should further improve those four query-local conditions by suppressing moderate geometric residuals, while medium and high noise may regress because valid noisy samples receive less effective covariance support. It changes one global cutoff and adds no computation. Ablate by restoring the second cutoff to 2.5, exactly recovering the retained estimator.	original
32	63923fdae90e590df213a672b532a2a8d089bce8	18.500528		0.879	73.0	discard			baseline	Tighten only the second Cauchy refinement cutoff from 1.5 to 1.0 sigma	The first robust fit provides a less biased plane, making its residuals more reliable indicators of curvature-, asymmetric-density-, and outlier-induced leverage than residuals from the initial PCA plane. Tightening the second Cauchy cutoff from 1.5 to 1.0 sigma continues the measured beneficial direction from 2.5 through 2.0 and 1.5: a residual of one refined-scale sigma now receives weight 0.5, more strongly limiting moderate geometric leverage while leaving the stable first-pass cutoff unchanged. Clean, low-noise, stripe, and gradient conditions should improve; medium and high noise may regress because valid noisy samples receive less effective covariance support. This changes one global scalar with no runtime or asymptotic cost. Ablate by restoring the second cutoff to 1.5 while keeping the first cutoff and all computations fixed, exactly recovering the current frontier.	original
33	b4153d5361191fb1c07a78b05b1a5ebf88a780b9	18.495918		0.855	74.8	discard			baseline	Tighten only the second Cauchy refinement cutoff from 1.5 to 0.5 sigma	After the first robust fit has corrected the provisional tangent, its residuals are more reliable indicators of curvature-, asymmetric-density-, and outlier-induced leverage. The measured 2.0-, 1.5-, and 1.0-sigma probes consistently improved clean, low-noise, stripe, and gradient conditions as the refined cutoff tightened; although 1.0 sigma did not improve the aggregate enough for retention, it preserved that directional evidence, so 0.5 sigma is the next untested strict anchor. At this cutoff, a residual of 0.5 refined-scale sigma receives Cauchy weight 0.5, strongly localizing the final covariance to the coherent tangent sheet. Those four geometry-sensitive conditions should improve, while medium and high noise may regress because valid noisy samples lose effective support. This changes one global scalar and adds no runtime or asymptotic cost. Ablate by restoring the second cutoff to 1.5 while keeping the first cutoff and all computations fixed, exactly recovering the current frontier.	original
34	43c290eef3a3c4bc723c68db2bd0505670e70e53	18.519192		0.887	81.6	discard			baseline	Tighten the first Cauchy refinement cutoff from 2.5 to 2.0 sigma while retaining the 1.5-sigma second cutoff	The retained second refinement is initialized by a 2.5-sigma robust plane, so moderate curvature-, asymmetric-density-, or outlier-induced residuals can still tilt that intermediate plane and make the final residual classification less accurate. Tightening only the first cutoff to 2.0 sigma reduces their covariance leverage before the already-retained 1.5-sigma refinement; mathematically, a residual of two scale sigmas receives Cauchy weight 0.5 instead of about 0.61. Prior cutoff probes indicate that clean, low-noise, stripe, and gradient conditions should improve, while medium and high noise may regress because valid noisy samples lose effective support. This changes one global scalar with no added runtime or asymptotic cost. Ablate by restoring the first cutoff to 2.5 while retaining the 1.5 second cutoff and all computations, exactly recovering the current frontier.	original
35	21b79f5b1f6f9ade466fbe6a7058a3b1a41363ec	18.501064		0.877	73.0	discard			baseline	Tighten the first Cauchy refinement cutoff from 2.5 to 1.5 sigma to match the retained second cutoff	The initial Gaussian-PCA plane can be tilted by curvature, asymmetric density, or outliers, allowing moderate geometric residuals to retain leverage in the first robust covariance and bias the residual classification used by the final fit. The measured 2.0-sigma first-pass probe improved clean, low-noise, stripe, and gradient conditions while retaining the 1.5-sigma second pass, so 1.5 sigma is the next strict anchor and applies one consistent bounded-influence cutoff to both refinements. Those four geometry-sensitive conditions should improve; medium and high noise may regress because valid noisy samples receive less effective support. This changes one global scalar with no added runtime or asymptotic cost. Ablate by restoring the first cutoff to 2.5 while keeping the second cutoff at 1.5 and all computations unchanged, exactly recovering the current frontier.	original
36	5abc0d4fe41ade42a3109e71a99c3e1dfe3676a0	18.530493		0.831	80.9	discard			medium	Smoothly relax the second Cauchy cutoff using initial normal eigengap ambiguity	The retained 1.5-sigma second refinement improves clean, low-noise, stripe, and gradient patches but loses medium/high-noise accuracy because a strict residual cutoff reduces effective covariance support even when the provisional normal is uncertain. This change measures initial normal ambiguity as a = clip(lambda_0 / lambda_1, 0, 1) and uses a second cutoff of 1.5 + a sigma: well-separated planar patches retain the frontier's strict rejection, while noise-ambiguous patches smoothly preserve more samples instead of making the hard accept/reject decision tested previously. Medium and high noise should improve; clean, low, stripe, and gradient should remain close to the frontier, while isotropically curved patches may regress because ambiguity also relaxes rejection of valid curvature. The cost is one eigenvalue ratio and scalar cutoff per patch, with no extra fit. Ablate by removing a from the second cutoff, exactly recovering the retained estimator.	original
37	e578eb22c95d4b587ffce9b84486091f7ebfb868	18.117488	15.142221	0.988	78.7	keep			medium	Initialize robust local PCA from a 224-neighbor Gaussian tail, then refine on 112 neighbors	The retained 112-neighbor estimator is sample-variance limited at medium and high positional noise, while keeping broad support in the final covariance causes curvature and neighborhood bias. Use 224 neighbors only for the provisional PCA normal, with Gaussian bandwidth still fixed by the 112th-neighbor radius, then perform both retained Cauchy refinements on the original 112-neighbor patch. The measured 160-neighbor staged initialization improved medium and high noise with much smaller clean-geometry losses than persistent broad support, so 224 is the next untested initialization anchor: it should further stabilize noisy provisional residuals, while clean, low-noise, stripe, and gradient cases may regress if the broader provisional plane biases the first residual classification. The cost is 112 extra points in only the initial covariance, with no extra eigendecomposition. Ablate by setting the initial support back to 112, exactly recovering the current frontier.	original
