iteration	status	dev_rmse	val_rmse	dev_clean	dev_low	dev_medium	dev_high	dev_stripe	dev_gradient	val_clean	val_low	val_medium	val_high	val_stripe	val_gradient	runtime_s	memory_mb	description
65	discard	17.749163		10.530223	12.553893	24.981453	38.081242	10.614554	9.733616							1.384	90.3	Estimate final-pass Cauchy location and scale from 128 core neighbors while retaining 160-neighbor covariance support
66	discard	17.725096		10.483577	12.531593	24.988161	38.086335	10.570923	9.689986							1.314	86.8	Estimate final-pass Cauchy location and scale from 96 core neighbors while retaining 160-neighbor covariance support
67	discard	17.707436	14.994009	10.445237	12.519083	24.991669	38.088594	10.542038	9.657993	11.938608	12.50067	17.960915	24.953256	12.191844	10.41876	1.274	101.9	Estimate final-pass Cauchy location and scale from 80 core neighbors while retaining 160-neighbor covariance support
68	crash																	Shrink the final robust local normal 10% toward the sign-aligned broad provisional PCA normal
69	discard	17.866365		10.594978	12.571559	25.335926	38.369328	10.593854	9.732546							1.256	80.5	Blend 10% of the sign-aligned 224-neighbor provisional PCA normal into the final local robust normal
70	discard	17.910922		10.395542	12.436614	25.917692	38.971585	10.237078	9.507024							1.326	85.5	Use an area-preserving anisotropic Gaussian kernel for both robust local PCA refinements
71	crash																	Apply the area-preserving anisotropic Gaussian kernel only in the final robust PCA refinement
72	discard	18.064942		10.71642	12.657567	25.64294	38.618279	10.897622	9.856824							1.302	88.8	Apply an area-preserving anisotropic Gaussian kernel only in the final robust PCA refinement
73	keep	17.812142	14.850593	10.180751	12.353957	25.816757	38.879045	10.266919	9.375423	11.506434	12.101423	18.030109	25.540189	11.826237	10.099166	1.272	80.5	Replace Cauchy residual weights with matched Tukey-biweight rejection in both robust PCA refinements
74	discard	17.775517		10.222437	12.391822	25.670918	38.68241	10.27843	9.407084							1.296	89.6	Use Cauchy reweighting for the first robust PCA correction and Tukey rejection only for the final refinement
75	discard	17.92221		10.209145	12.350696	26.050905	39.247777	10.285224	9.38951							1.325	80.5	Relax only the first Tukey-biweight cutoff from 4.62 to 5.54 weighted-MAD sigmas
76	discard	17.907287		10.292221	12.362321	25.867143	39.06351	10.364369	9.494161							1.277	90.7	Relax only the final Tukey-biweight cutoff from 2.77 to 3.69 weighted-MAD sigmas
77	discard	17.772818		10.178484	12.442841	25.719877	38.66435	10.272212	9.359145							1.3	80.2	Tighten only the final Tukey-biweight cutoff from 2.77 to 1.85 weighted-MAD sigmas
78	discard	17.781557		10.154571	12.384223	25.782301	38.780723	10.244994	9.342529							1.278	93.4	Tighten only the final Tukey-biweight cutoff from 2.77 to 2.31 weighted-MAD sigmas
79	provisional	17.690178		10.15021	12.371053	25.545813	38.459631	10.256811	9.357547							1.282	87.8	Tighten only the first Tukey-biweight cutoff from 4.62 to 3.69 weighted-MAD sigmas
80	discard	17.583765	14.805164	10.131525	12.409033	25.272498	38.058923	10.27749	9.353119	11.444318	12.072738	18.072169	25.291835	11.841974	10.107951	1.301	82.4	Tighten the first Tukey-biweight cutoff from 3.69 to 2.77 weighted-MAD sigmas
81	provisional	17.633485		10.136742	12.385217	25.41331	38.253681	10.261715	9.350243							1.311	86.9	Tighten only the first Tukey-biweight cutoff from 4.62 to 3.23 weighted-MAD sigmas
82	discard	17.607057		10.129682	12.394774	25.344132	38.154353	10.268652	9.350749							1.31	80.4	Tighten only the first Tukey-biweight cutoff from 3.23 to 3.0 weighted-MAD sigmas
83	discard	17.613678		10.120692	12.399753	25.386847	38.19077	10.250703	9.333302							1.263	94.1	Tighten only the final Tukey-biweight cutoff from 2.77 to 2.54 weighted-MAD sigmas
84	discard	17.618118		10.131935	12.38961	25.374245	38.198179	10.264812	9.34993							1.262	80.3	Tighten only the first Tukey-biweight cutoff from 3.23 to 3.1 weighted-MAD sigmas
85	discard	17.748073		10.094953	12.259032	25.695629	38.796594	10.303775	9.338456							1.245	80.2	Reduce broad Tukey-PCA initialization support from 224 to 192 neighbors
86	discard	17.697872		10.133013	12.329018	25.543351	38.538124	10.296892	9.346831							1.285	95.0	Reduce broad Tukey-PCA initialization support from 224 to 208 neighbors
87	discard	17.660994		10.130825	12.283759	25.490316	38.422844	10.297087	9.341133							1.275	88.4	Reduce broad Tukey-PCA initialization support from 224 to 216 neighbors
88	discard	17.645685		10.139013	12.377839	25.440447	38.305898	10.264706	9.346205							1.332	80.3	Reduce broad Tukey-PCA initialization support from 224 to 220 neighbors
89	discard	17.562944	14.80762	10.138451	12.425555	25.200844	37.964261	10.294649	9.353904	11.445114	12.090631	18.080996	25.253762	11.856735	10.118484	1.303	93.5	Tighten only the first Tukey-biweight cutoff from 3.23 to 2.54 weighted-MAD sigmas
90	discard	17.799541		10.194984	12.2736	25.840057	38.844538	10.26163	9.38244							1.275	81.0	Leave the query sample out of the broad and robust weighted PCA covariances
91	discard	17.810594		10.193182	12.325853	25.837274	38.866069	10.263871	9.377314							1.28	81.0	Give the query sample half Gaussian weight in all three weighted PCA fits
92	discard	17.798905		10.180491	12.292817	25.829005	38.865705	10.257234	9.36818							1.278	82.0	Leave the query sample out of only the broad provisional PCA initialization
93	discard	17.815099		10.19559	12.352952	25.806644	38.862509	10.277076	9.395821							1.282	87.1	Leave the query sample out of only the final Tukey-PCA refinement
94	discard	17.81062		10.181624	12.335204	25.843066	38.877889	10.258664	9.367271							1.322	81.5	Leave the query sample out of only the first local Tukey-PCA refinement
95	discard	17.916047		10.150487	12.259961	26.025987	39.37321	10.308456	9.378182							1.279	80.8	Use a rank-Gaussian kernel only for the broad provisional PCA initialization
96	discard	17.767349		10.191759	12.361645	25.679814	38.71628	10.272489	9.382109							1.262	80.7	Use final normal eigengap ambiguity to control shrinkage toward the broad provisional PCA normal
97	discard	17.774723		10.190841	12.360925	25.698467	38.741355	10.272282	9.384467							1.269	93.5	Gate broad-normal shrinkage by both final eigengap ambiguity and cross-scale agreement
98	discard	17.773264		10.184001	12.355475	25.711407	38.745354	10.263869	9.37948							1.263	80.7	Apply 10% broad-normal shrinkage only when the final robust PCA eigengap is ambiguous
99	discard	17.831596		10.313143	12.41868	25.640652	38.740266	10.38214	9.494695							1.281	81.1	Shrink the final robust local covariance 10% toward the normalized broad provisional covariance
100	discard	17.676831	14.848915	10.236184	12.37581	25.254196	38.367199	10.375648	9.451945	11.645083	12.230018	17.9569	25.084084	11.969195	10.20821	1.511	88.7	Extend only the final Tukey-PCA refinement from 112 to 160 neighbors
101	provisional	17.752443		10.207048	12.363953	25.566652	38.655655	10.314495	9.406855							1.431	100.2	Extend only the final Tukey-PCA refinement from 112 to 128 neighbors
102	discard	17.711135		10.226276	12.370559	25.386868	38.494325	10.351693	9.437087							1.481	102.8	Extend only the final Tukey-PCA refinement from 128 to 144 neighbors
103	discard	17.731052		10.217344	12.369112	25.468486	38.571358	10.337353	9.422662							1.483	98.1	Extend only the final Tukey-PCA refinement from 128 to 136 neighbors
104	discard	17.742641		10.166863	12.348666	25.609661	38.695063	10.26753	9.368063							1.451	98.3	Narrow only the 128-neighbor final Tukey-PCA Gaussian bandwidth from the 112th- to the 104th-neighbor radius
105	discard	17.747725		10.186623	12.355691	25.586623	38.674781	10.292974	9.389657							1.437	106.6	Narrow only the 128-neighbor final Tukey-PCA Gaussian bandwidth from the 112th- to the 108th-neighbor radius
106	discard	17.78095		10.19552	12.35885	25.688944	38.75669	10.294953	9.390745							1.429	95.4	Reduce only the final Tukey-PCA refinement from 128 to 120 neighbors
107	discard	17.76706		10.202424	12.363091	25.62634	38.704145	10.30532	9.401042							1.437	110.8	Reduce only the final Tukey-PCA refinement from 128 to 124 neighbors
108	discard	17.739822		10.185772	12.358108	25.564621	38.650491	10.295597	9.384345							1.384	96.0	Estimate final Tukey residual location and scale from the 112-neighbor core while retaining 128-neighbor covariance support
109	discard	17.724675		10.163754	12.348479	25.563515	38.645952	10.269388	9.35696							1.359	96.1	Estimate final Tukey residual location and scale from a 96-neighbor core while retaining 128-neighbor covariance support
110	discard	17.706787		10.128368	12.344933	25.560397	38.638456	10.241265	9.327303							1.306	95.8	Estimate final Tukey residual location and scale from an 80-neighbor core while retaining 128-neighbor covariance support
111	keep	17.683331	14.779952	10.079867	12.343174	25.555994	38.626216	10.206136	9.288601	11.423862	12.055618	18.007697	25.391661	11.76375	10.037123	1.269	104.8	Estimate final Tukey residual location and scale from a 64-neighbor core while retaining 128-neighbor covariance support
112	discard	17.653775		10.029592	12.333031	25.542871	38.617203	10.178059	9.221897							1.245	96.8	Estimate final Tukey residual location and scale from a 48-neighbor core while retaining 128-neighbor covariance support
113	discard	17.655119		10.034134	12.323683	25.542158	38.636373	10.1717	9.222664							1.295	96.9	Estimate final Tukey residual location from 48 core neighbors while retaining the 64-neighbor scale estimate
114	discard	17.682077		10.078597	12.349273	25.559406	38.606933	10.210739	9.287514							1.274	110.2	Estimate final Tukey residual scale from 48 core neighbors while retaining the 64-neighbor location estimate
115	discard	17.946627		10.158926	12.341728	25.960423	39.552108	10.289362	9.377216							1.359	113.4	Use corrected tangent-plane distance for the final robust PCA spatial kernel
116	provisional	17.632223		10.006906	12.320135	25.51372	38.580006	10.160369	9.212199							1.179	96.8	Estimate final Tukey residual location and scale from a 32-neighbor core while retaining 128-neighbor covariance support
117	discard	17.665592		10.08225	12.378927	25.436751	38.503899	10.280295	9.311431							1.18	96.8	Estimate final Tukey residual location and scale from a 16-neighbor core while retaining 128-neighbor covariance support
118	discard	17.636826		10.019189	12.32927	25.492371	38.562761	10.200247	9.217122							1.184	96.8	Estimate final Tukey residual location and scale from a 24-neighbor core while retaining 128-neighbor covariance support
119	discard	17.630768		10.01001	12.322222	25.498976	38.574932	10.16926	9.209209							1.239	104.8	Estimate final Tukey residual location and scale from a 28-neighbor core while retaining 128-neighbor covariance support
120	discard	17.630704		9.995951	12.317519	25.50346	38.578953	10.172756	9.215586							1.226	96.5	Estimate final Tukey residual location and scale from a 30-neighbor core while retaining 128-neighbor covariance support
121	discard	17.624252		9.989918	12.305567	25.52541	38.615501	10.132656	9.176462							1.216	96.9	Estimate final Tukey residual location from 32 neighbors and scale from 48 neighbors
122	discard	17.623986		9.986181	12.315103	25.506878	38.5902	10.156624	9.188931							1.184	96.9	Estimate final Tukey residual location from 24 neighbors while retaining the 32-neighbor scale estimate
123	discard	17.642633		10.034785	12.326747	25.498522	38.560578	10.191265	9.243899							1.179	99.4	Estimate final Tukey residual location from 32 neighbors and scale from 24 neighbors
124	keep	17.539547	14.705215	9.943366	12.306801	25.369013	38.305784	10.141378	9.170939	11.269413	11.943246	18.061025	25.369274	11.675323	9.913007	1.09	97.3	Estimate first-pass Tukey residual location and scale from a 64-neighbor core while retaining 112-neighbor covariance support
125	provisional	17.436335		9.954249	12.303457	25.105294	37.97461	10.158053	9.122348							1.046	97.2	Reduce the first-pass Tukey residual-statistic core from 64 to 32 neighbors while retaining 112-neighbor covariance support
126	discard	17.418577		10.038919	12.376409	24.905778	37.717041	10.323163	9.150153							1.048	98.4	Reduce the first-pass Tukey residual-statistic core from 32 to 16 neighbors while retaining 112-neighbor covariance support
127	discard	17.414162		9.952916	12.302869	25.037021	37.880927	10.222239	9.088996							1.069	97.1	Reduce the first-pass Tukey residual-statistic core from 32 to 24 neighbors while retaining 112-neighbor covariance support
128	discard	17.434364		9.952666	12.318781	25.076324	37.931285	10.220258	9.10687							1.015	108.1	Reduce the first-pass Tukey residual-statistic core from 32 to 28 neighbors while retaining 112-neighbor covariance support
129	discard	17.418637		9.974961	12.319211	25.029658	37.872591	10.212551	9.10285							1.016	110.2	Estimate first-pass Tukey residual location from 32 neighbors and scale from 24 neighbors
130	discard	17.43673		9.924518	12.284133	25.121767	37.994705	10.194405	9.100855							1.03	97.4	Estimate first-pass Tukey residual location from 24 neighbors while retaining the 32-neighbor scale estimate
131	discard	17.491657		9.934525	12.297491	25.264723	38.188663	10.125171	9.139371							1.046	106.3	Estimate first-pass Tukey residual location from 32 neighbors and scale from 48 neighbors
132	discard	17.498365		9.931402	12.318281	25.272458	38.168886	10.139654	9.159513							1.075	110.2	Increase the first-pass Tukey residual-statistic core from 32 to 48 neighbors
133	discard	17.466807		9.938177	12.302361	25.198058	38.066058	10.151618	9.144571							1.081	106.3	Use a 40-neighbor first-pass Tukey residual-statistic core
134	discard	17.450218		9.942597	12.311882	25.145606	38.025743	10.137626	9.137853							1.045	106.4	Use a 36-neighbor first-pass Tukey residual-statistic core
135	discard	17.436335		9.954249	12.303457	25.105294	37.97461	10.158053	9.122348							1.03	110.5	Use a 34-neighbor first-pass Tukey residual-statistic core
136	discard	17.446882		9.937981	12.320649	25.145248	38.012102	10.131798	9.133515							1.026	97.6	Use a 35-neighbor first-pass Tukey residual-statistic core
137	discard	17.380046	14.720481	10.005305	12.32013	24.855877	37.696339	10.254714	9.147907	11.327525	12.021307	18.093408	25.124586	11.766349	9.989708	1.043	89.5	Extend only the first Tukey-PCA refinement from 112 to 128 neighbors
138	provisional	17.484047		9.984158	12.305652	25.176383	38.066638	10.174459	9.19699							1.1	101.3	Extend only the first Tukey-PCA refinement from 112 to 120 neighbors
139	discard	17.463383		9.99789	12.314713	25.090568	37.974565	10.198356	9.204206							1.177	98.3	Extend only the first Tukey-PCA refinement from 120 to 124 neighbors
140	discard	17.471592		9.991111	12.313176	25.136895	38.015364	10.183323	9.189683							1.131	98.2	Extend only the first Tukey-PCA refinement from 120 to 122 neighbors
141	discard	17.479004		9.984427	12.306497	25.161144	38.047705	10.181357	9.192894							1.106	98.1	Extend only the first Tukey-PCA refinement from 120 to 121 neighbors
142	discard	17.483155		9.968132	12.3005	25.195767	38.093891	10.158485	9.182156							1.115	98.1	Narrow only the 120-neighbor first-refinement Gaussian bandwidth from the 112th- to the 108th-neighbor radius
143	discard	17.483927		9.977965	12.301422	25.186524	38.079645	10.166403	9.191604							1.126	98.0	Narrow only the 120-neighbor first-refinement Gaussian bandwidth from the 112th- to the 110th-neighbor radius
144	discard	17.48524		9.995729	12.310273	25.157094	38.043295	10.193639	9.211409							1.137	98.1	Widen only the 120-neighbor first-refinement Gaussian bandwidth from the 112th- to the 116th-neighbor radius
145	discard	17.484838		9.991327	12.307638	25.166404	38.054143	10.185261	9.204257							1.126	114.2	Widen only the 120-neighbor first-refinement Gaussian bandwidth from the 112th- to the 114th-neighbor radius
146	discard	17.484047		9.984158	12.305652	25.176383	38.066638	10.174459	9.19699							1.161	98.1	Reduce only the first Tukey-PCA refinement from 120 to 116 neighbors
147	discard	17.517281		9.945172	12.30173	25.306075	38.228165	10.136687	9.185858							1.122	97.6	Reduce only the first Tukey-PCA refinement from 120 to 114 neighbors
148	discard	17.512371		9.955453	12.302356	25.28461	38.200981	10.144372	9.186454							1.143	111.6	Reduce only the first Tukey-PCA refinement from 120 to 115 neighbors
149	discard	17.472633		10.041932	12.322607	25.107609	37.929942	10.208134	9.225574							1.138	102.1	Widen only the 224-neighbor provisional-PCA Gaussian bandwidth from the 112th- to the 120th-neighbor radius
150	discard	17.480103		9.962477	12.248027	25.198091	38.152869	10.149002	9.170153							1.132	102.0	Narrow only the 224-neighbor provisional-PCA Gaussian bandwidth from the 112th- to the 108th-neighbor radius
151	discard	17.484743		9.972442	12.301318	25.183145	38.112801	10.156122	9.182628							1.14	102.1	Narrow only the 224-neighbor provisional-PCA Gaussian bandwidth from the 112th- to the 110th-neighbor radius
152	discard	17.476743		10.014923	12.313299	25.133052	37.988683	10.19612	9.214383							1.159	120.9	Widen only the 224-neighbor provisional-PCA Gaussian bandwidth from the 112th- to the 116th-neighbor radius
153	discard	17.480433		9.995356	12.311246	25.154916	38.02839	10.185405	9.207284							1.176	101.9	Widen only the 224-neighbor provisional-PCA Gaussian bandwidth from the 112th- to the 114th-neighbor radius
154	discard	17.400428	14.713823	9.991032	12.310277	24.982947	37.79837	10.188526	9.131416	11.298549	11.983202	18.101017	25.201406	11.73075	9.96801	1.045	98.0	Reduce the first-pass Tukey residual-statistic core from 64 to 32 neighbors while retaining 120-neighbor covariance support
155	discard	17.518309		9.936921	12.309332	25.324364	38.238935	10.133955	9.166347							1.06	97.3	Reduce the first-pass Tukey residual-statistic core from 64 to 56 neighbors
156	discard	17.526526		9.942712	12.308667	25.325584	38.274589	10.144124	9.163479							1.1	97.4	Reduce the first-pass Tukey residual-statistic core from 64 to 60 neighbors
